C:\Users\bjoern\Miniconda3\python.exe D:/python/AoC/2015/20/aoc2015_20.py
96 2520
90 2340
84 2240
72 1950
80 1860
88 1800
98 1710
60 1680
78 1680
92 1680
99 1560
66 1440
70 1440
94 1440
76 1400
86 1320
93 1280
64 1270
68 1260
82 1260
48 1240
75 1240
81 1210
54 1200
56 1200
87 1200
95 1200
74 1140
91 1120
85 1080
63 1040
52 980
97 980
42 960
62 960
69 960
77 960
50 930
36 910
40 900
58 900
89 900
44 840
65 840
83 840
57 800
79 800
45 780
73 740
30 720
46 720
51 720
55 720
71 720
67 680
32 630
61 620
24 600
38 600
59 600
49 570
28 560
39 560
34 540
53 540
33 480
35 480
47 480
43 440
20 420
26 420
41 420
27 400
18 390
37 380
22 360
21 320
31 320
16 310
25 310
29 300
12 280
14 240
15 240
23 240
19 200
10 180
17 180
8 150
13 140
9 130
6 120
11 120
7 80
4 70
5 60
3 40
2 30
1 10

Process finished with exit code 0
